pptyp,dpurp,mode,deptm_hr,trexpfac,travdist,travtime,delay,source
Child Age 0-4,None/Home,School Bus,13,4,6.618195044,13.64251049,0.195010486,soundcast
Child Age 0-4,None/Home,School Bus,14,6,3.23694737,9.223050291,-0.818616376,soundcast
Child Age 0-4,None/Home,School Bus,15,8,2.377985322,8.048142941,-0.223107059,soundcast
Child Age 0-4,None/Home,School Bus,16,9,3.319501838,11.26081697,0.098594746,soundcast
Child Age 0-4,None/Home,School Bus,17,10,2.780552677,10.87328646,0.737286462,soundcast
Child Age 0-4,None/Home,School Bus,18,6,3.337430556,10.2701203,0.466786967,soundcast
Child Age 0-4,None/Home,School Bus,19,2,7.805,16.63,1.855,soundcast
Child Age 0-4,None/Home,School Bus,20,2,5.373969129,13.91782024,0.012820245,soundcast
Child Age 0-4,None/Home,School Bus,21,1,3.78,10.89,-0.01,soundcast
Child Age 0-4,None/Home,School Bus,23,1,1.706657197,6.371520202,-0.908479798,soundcast
Child Age 0-4,None/Home,Transit,5,17,3.241176471,31.7403741,21.42155057,soundcast
Child Age 0-4,None/Home,Transit,6,4,3.395,25.26668087,13.01918087,soundcast
Child Age 0-4,None/Home,Transit,7,44,4.370227273,31.90800471,19.4414138,soundcast
Child Age 0-4,None/Home,Transit,8,94,6.293085106,38.26201422,23.79233337,soundcast
Child Age 0-4,None/Home,Transit,9,130,4.932153846,35.8969775,23.06213135,soundcast
Child Age 0-4,None/Home,Transit,10,167,4.558862275,34.53183195,22.17117326,soundcast
Child Age 0-4,None/Home,Transit,11,169,5.082840237,35.08489815,22.29696915,soundcast
Child Age 0-4,None/Home,Transit,12,192,5.23453125,36.68296255,23.31848338,soundcast
Child Age 0-4,None/Home,Transit,13,217,5.05718894,36.2875456,23.27717693,soundcast
Child Age 0-4,None/Home,Transit,14,216,5.209027778,35.04599909,21.63641576,soundcast
Child Age 0-4,None/Home,Transit,15,232,4.990775862,35.0267247,22.20120746,soundcast
Child Age 0-4,None/Home,Transit,16,223,4.995605381,33.25453631,20.13561255,soundcast
Child Age 0-4,None/Home,Transit,17,203,5.372118227,36.50449503,22.93183493,soundcast
Child Age 0-4,None/Home,Transit,18,160,4.9015,35.39753934,22.46066434,soundcast
Child Age 0-4,None/Home,Transit,19,198,5.803838384,38.10601925,23.99465562,soundcast
Child Age 0-4,None/Home,Transit,20,148,5.428716216,37.01519783,23.40769783,soundcast
